;index_x;LLM_score;date;company;index_y;title;symbols;sentiment;ticker
70;70;0;2022-06-01T11:00:00+00:00;FAT Brands Inc;159455;FAT Brands to Participate in LD Micro Invitational XII Conference;['FAT.US', 'FATBP.US', 'FATBW.US'];{'polarity': 0.973, 'neg': 0, 'neu': 0.922, 'pos': 0.078};FATBP
71;70;0;2022-06-01T11:00:00+00:00;FAT Brands Inc;171184;FAT Brands to Participate in LD Micro Invitational XII Conference;['FAT.US', 'FATBP.US', 'FATBW.US'];{'polarity': 0.973, 'neg': 0, 'neu': 0.922, 'pos': 0.078};FAT
242;242;1;2022-06-01T13:44:00+00:00;WesBanco Inc;119144;WesBanco Bank Again Receives the America Saves Designation of Savings Excellence;['WSBC.US', 'WSBCP.US'];{'polarity': 1, 'neg': 0.015, 'neu': 0.771, 'pos': 0.214};WSBC
243;242;1;2022-06-01T13:44:00+00:00;WesBanco Inc;123528;WesBanco Bank Again Receives the America Saves Designation of Savings Excellence;['WSBC.US', 'WSBCP.US'];{'polarity': 1, 'neg': 0.015, 'neu': 0.771, 'pos': 0.214};WSBCP
277;277;1;2022-06-01T14:15:13+00:00;MainStreet Bancshares Inc;166458;Investors in MainStreet Bancshares (NASDAQ:MNSB) have made a decent return of 60% over the past five years;['MNSB.US', 'MNSBP.US'];{'polarity': 0.998, 'neg': 0.032, 'neu': 0.794, 'pos': 0.174};MNSB
278;277;1;2022-06-01T14:15:13+00:00;MainStreet Bancshares Inc;167232;Investors in MainStreet Bancshares (NASDAQ:MNSB) have made a decent return of 60% over the past five years;['MNSB.US', 'MNSBP.US'];{'polarity': 0.998, 'neg': 0.032, 'neu': 0.794, 'pos': 0.174};MNSBP
315;315;1;2022-06-01T15:03:03+00:00;AGNC Investment Corp;62901;Why Is AGNC Investment (AGNC) Up 2% Since Last Earnings Report?;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.995, 'neg': 0.021, 'neu': 0.871, 'pos': 0.107};AGNCN
316;315;1;2022-06-01T15:03:03+00:00;AGNC Investment Corp;64513;Why Is AGNC Investment (AGNC) Up 2% Since Last Earnings Report?;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.995, 'neg': 0.021, 'neu': 0.871, 'pos': 0.107};AGNCM
317;315;1;2022-06-01T15:03:03+00:00;AGNC Investment Corp;67081;Why Is AGNC Investment (AGNC) Up 2% Since Last Earnings Report?;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.995, 'neg': 0.021, 'neu': 0.871, 'pos': 0.107};AGNCP
318;315;1;2022-06-01T15:03:03+00:00;AGNC Investment Corp;85510;Why Is AGNC Investment (AGNC) Up 2% Since Last Earnings Report?;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.995, 'neg': 0.021, 'neu': 0.871, 'pos': 0.107};AGNC
393;393;0;2022-06-01T16:34:00+00:00;Qurate Retail Inc;64194;Qurate Retail Group Elevates LGBTQ+ Communities and Creators with Pride Month Initiatives;['LB3A.F', 'QRTEA.US', 'QRTEB.US', 'QRTEP.US'];{'polarity': 0.999, 'neg': 0.02, 'neu': 0.849, 'pos': 0.131};QRTEP
394;393;0;2022-06-01T16:34:00+00:00;Qurate Retail Inc;154034;Qurate Retail Group Elevates LGBTQ+ Communities and Creators with Pride Month Initiatives;['LB3A.F', 'QRTEA.US', 'QRTEB.US', 'QRTEP.US'];{'polarity': 0.999, 'neg': 0.02, 'neu': 0.849, 'pos': 0.131};QRTEA
409;409;-1;2022-06-01T17:25:48+00:00;Zillow Group Inc;66794;US real estate stocks: making a turn on housing is flipping difficult;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};Z
