LLM_score,date,company
1,2022-06-15T17:07:28+00:00,ACADIA Pharmaceuticals Inc
0,2022-06-15T17:09:50+00:00,Apyx Medical Corporation Common Stock
0,2022-06-15T17:13:00+00:00,Denny's Corporation Common Stock
0,2022-06-15T17:16:00+00:00,iHeartMedia Inc
-1,2022-06-15T17:18:26+00:00,Coinbase Global Inc
1,2022-06-15T17:26:05+00:00,Rigel Pharmaceuticals Inc
0,2022-06-15T17:30:08+00:00,Northern Trust Corporation Common Stock
0,2022-06-15T17:30:08+00:00,Northern Trust Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock
0,2022-06-15T17:40:00+00:00,PureTech Health plc American Depositary Shares
0,2022-06-15T17:45:30+00:00,Roku Inc
