Timestamp;Company;shape;Accept
2023-08-17 00:12:46;AAPL;(395, 14);Yes
2023-08-17 00:12:48;MSFT;(395, 14);Yes
2023-08-17 00:12:50;GOOG;(395, 14);Yes
2023-08-17 00:12:51;GOOGL;(395, 14);Yes
2023-08-17 00:12:54;AMZN;(395, 14);Yes
2023-08-17 00:12:55;NVDA;(395, 14);Yes
2023-08-17 00:12:57;META;(395, 14);Yes
2023-08-17 00:13:00;TSLA;(395, 14);Yes
2023-08-17 00:13:01;AVGO;(395, 14);Yes
2023-08-17 00:13:04;PEP;(395, 14);Yes
2023-08-17 00:13:06;COST;(395, 14);Yes
2023-08-17 00:13:08;ADBE;(395, 14);Yes
2023-08-17 00:13:11;CSCO;(395, 14);Yes
2023-08-17 00:13:13;CMCSA;(395, 14);Yes
2023-08-17 00:13:15;NFLX;(395, 14);Yes
2023-08-17 00:13:18;AMD;(395, 14);Yes
2023-08-17 00:13:20;TMUS;(395, 14);Yes
2023-08-17 00:13:22;TXN;(395, 14);Yes
2023-08-17 00:13:25;INTC;(395, 14);Yes
2023-08-17 00:13:27;INTU;(395, 14);Yes
2023-08-17 00:13:29;AMGN;(395, 14);Yes
2023-08-17 00:13:31;QCOM;(395, 14);Yes
2023-08-17 00:13:33;HON;(395, 14);Yes
2023-08-17 00:13:36;AMAT;(395, 14);Yes
2023-08-17 00:13:38;SBUX;(395, 14);Yes
2023-08-17 00:13:40;BKNG;(395, 14);Yes
2023-08-17 00:13:42;ISRG;(395, 14);Yes
2023-08-17 00:13:44;ADP;(395, 14);Yes
2023-08-17 00:13:46;MDLZ;(395, 14);Yes
2023-08-17 00:13:48;GILD;(395, 14);Yes
2023-08-17 00:13:51;ADI;(395, 14);Yes
2023-08-17 00:13:54;VRTX;(395, 14);Yes
2023-08-17 00:13:56;LRCX;(395, 14);Yes
2023-08-17 00:13:58;REGN;(395, 14);Yes
2023-08-17 00:14:00;ABNB;(395, 14);Yes
2023-08-17 00:14:02;MU;(395, 14);Yes
2023-08-17 00:14:05;CME;(395, 14);Yes
2023-08-17 00:14:07;EQIX;(395, 14);Yes
2023-08-17 00:14:09;ATVI;(395, 14);Yes
2023-08-17 00:14:11;PYPL;(395, 14);Yes
2023-08-17 00:14:13;KLAC;(395, 14);Yes
2023-08-17 00:14:15;PANW;(395, 14);Yes
2023-08-17 00:14:17;SNPS;(395, 14);Yes
2023-08-17 00:14:19;CHTR;(395, 14);Yes
2023-08-17 00:14:21;CDNS;(395, 14);Yes
2023-08-17 00:14:23;CSX;(395, 14);Yes
2023-08-17 00:14:25;MNST;(395, 14);Yes
2023-08-17 00:14:28;MAR;(395, 14);Yes
2023-08-17 00:14:30;WDAY;(395, 14);Yes
2023-08-17 00:14:32;ORLY;(395, 14);Yes
2023-08-17 00:14:34;ROP;(395, 14);Yes
2023-08-17 00:14:37;CTAS;(395, 14);Yes
2023-08-17 00:14:39;KDP;(395, 14);Yes
